PatternID,PatternName,Description,RequiredTraits,FactionRestriction,SpeciesCompatibility,ConversationThemes,DialogueStarters,DefaultTone,ConversationDuration,PatternCooldown,SelectionWeight
CP001,Friendly_Banter,Light-hearted conversation between friends,High_Charisma|Friendly,,Human|AI,"Daily life,Weather,Food,Work","Hello {LISTENER}! How has your day been?|Good to see you {LISTENER}. What brings you here?|{LISTENER}! I was just thinking about you.",Friendly,45.0,180.0,70.0
CP002,Faction_Gossip,Members discussing faction affairs and politics,,"Raiders,Remnants",Human|AI,"Faction politics,Leadership,Resources,Territory","Have you heard what {FACTION_LEADER} is planning?|The council meeting yesterday was interesting...|I wonder how long this alliance will last.",Neutral,90.0,300.0,60.0
CP003,Trader_Negotiation,Business discussions between merchants and traders,High_Intelligence|Business_Minded,,Human|AI,"Trade routes,Prices,Inventory,Market conditions","I have some items that might interest you...|The market has been unpredictable lately.|What are you willing to trade for this?",Neutral,60.0,240.0,50.0
CP004,Survival_Strategy,Discussing survival tactics and threats in the wasteland,High_Survival|Cautious,,"Human,AI","Threats,Resources,Safe routes,Weather","The rad storms have been getting worse...|I heard there's a new pack of ferals near the old factory.|We need to find a safer route to the trading post.",Serious,75.0,360.0,80.0
CP005,Romance_Flirtation,Romantic interest between compatible NPCs,High_Charisma|Romantic,,Human,"Personal interests,Shared experiences,Future plans","You look lovely today {LISTENER}.|I've been hoping to spend more time with you.|Would you like to walk with me tonight?",Friendly,30.0,600.0,40.0
CP006,Hostile_Confrontation,Tense conversation between enemies or rivals,High_Aggression|Confrontational,,"Human,AI","Past conflicts,Territory disputes,Betrayals","I haven't forgotten what you did...|You're not welcome here {LISTENER}.|This isn't over between us.",Hostile,20.0,450.0,30.0
CP007,Knowledge_Sharing,Intellectual discussion about lore and history,High_Intelligence|Scholar,,"Human,AI","Pre-war history,Technology,Books,Science","I found an interesting piece of old tech...|The archives mention something about this area...|Have you ever wondered about the old world?",Neutral,120.0,240.0,65.0
CP008,Military_Briefing,Strategic discussions between soldiers and commanders,Military_Background,,"Human,AI","Tactics,Mission planning,Intel,Equipment","The patrol reports movement in sector 7...|We need to adjust our defensive positions.|Intelligence suggests enemy activity nearby.",Serious,45.0,300.0,75.0
CP009,Medical_Concern,Health-related conversations between medic and patient,Medical_Knowledge,,Human|AI,"Injuries,Medicine,Health,Treatment","How are you feeling after the treatment?|I'm concerned about that wound...|You need to take better care of yourself.",Concerned,40.0,180.0,55.0
CP010,Religious_Discussion,Spiritual conversations about faith and beliefs,High_Faith|Spiritual,,"Human,AI","Faith,Afterlife,Moral questions,Guidance","The spirits have been restless lately...|Do you ever wonder about our purpose?|Faith can be our greatest strength.",Reverent,90.0,360.0,45.0
CP011,Tech_Enthusiasm,Excited discussions about technology and gadgets,High_Intelligence|Tech_Savvy,,"Human,AI","Technology,Inventions,Repairs,Upgrades","Look at this fascinating piece of tech!|I've been working on a new modification...|The engineering on this is incredible!",Excited,60.0,240.0,60.0
CP012,Conspiracy_Theory,Paranoid discussions about hidden agendas,High_Intelligence|Paranoid,,"Human,AI","Secret plots,Hidden enemies,Surveillance,Cover-ups","I don't think we're getting the whole truth...|Someone is pulling the strings behind this...|Keep your voice down, they might be listening.",Conspiratorial,80.0,420.0,35.0
CP013,Wolf_Pack_Howling,Wolves communicating through howls and body language,Pack_Animal,,Wolf,"Territory,Pack status,Hunt coordination,Danger warnings","*Howls to establish territory*|*Low growl indicating submission*|*Excited yips about successful hunt*",Neutral,15.0,120.0,90.0
CP014,Fox_Territorial,Foxes marking and defending territory,Territorial,,Fox,"Territory boundaries,Food caches,Mating,Den security","*Marks territory with scent*|*Chattering to ward off intruders*|*Soft barks to communicate with mate*",Neutral,20.0,180.0,85.0
CP015,AI_Data_Exchange,AIs sharing information through digital protocols,Digital_Being,,AI,"Data sharing,Network status,System updates,Security protocols","Initiating secure data transfer...|System status: Nominal. Requesting update.|Network integrity at 97.3%. Proceed with caution.",Neutral,5.0,60.0,95.0
CP016,Mutant_Corrupted,Corrupted beings communicating through broken speech,Corrupted,,Mutant,"Pain,Hunger,Confusion,Memories","*Garbled speech* ...hungry... need...|*Distorted voice* Remember... before...|*Incomprehensible muttering* Pain... always pain...",Fearful,10.0,300.0,70.0
CP017,Raider_Intimidation,Raiders using threats and aggression,High_Aggression,Raiders,Human,"Violence,Intimidation,Territory,Loot","You better watch yourself around here...|This is our turf now, got it?|Hand over your caps or things get messy.",Hostile,25.0,240.0,80.0
CP018,Remnant_Scholarly,Remnants discussing preservation of knowledge,High_Intelligence,Remnants,Human,"Knowledge preservation,History,Books,Teaching","We must preserve this knowledge for future generations.|The old texts speak of technologies we've lost...|Education is our greatest weapon against barbarism.",Reverent,150.0,360.0,70.0
