BiomeType,PrimaryContext,SecondaryContext,TertiaryContext,ComfortModifier,ResourceScarcity
Desert,Survival,Exploration,Chaotic,-20,0.95
Urban,Exploration,Combat,Structured,-5,0.65
Encampment_Raider,Chaotic,Combat,Social,-15,0.55
Encampment_Remnant,Structured,Social,Peaceful,15,0.35
Forest,Exploration,Survival,Peaceful,-8,0.50
Tundra,Survival,Exploration,Structured,-18,0.85
Swamp,Survival,Exploration,Combat,-16,0.70
Urban_Machine,Structured,Exploration,Combat,5,0.40
Radioactive,Survival,Exploration,Combat,-20,0.90
Coastal_Trade,Social,Peaceful,Structured,12,0.30
Cave_Mine,Exploration,Combat,Survival,-10,0.55
Mountain,Exploration,Survival,Combat,-12,0.75
Desert_Sandstorm,Chaotic,Survival,Combat,-18,0.92
Urban_Overgrown,Exploration,Peaceful,Structured,0,0.45
Ruins_Archives,Structured,Exploration,Peaceful,10,0.50
Wasteland_Battlefield,Combat,Exploration,Survival,-14,0.60
Cave_Glowing,Peaceful,Exploration,Structured,8,0.40
Encampment_Salvager,Chaotic,Social,Exploration,-3,0.48
Grassland_Village,Peaceful,Social,Structured,18,0.25
Cave_Fungal,Survival,Exploration,Structured,-11,0.65
Urban_Bunker,Structured,Combat,Survival,12,0.30
Canyon_Crystalline,Exploration,Structured,Peaceful,3,0.58
Urban_Flooded,Exploration,Survival,Combat,-13,0.70
Encampment_Mercenary,Social,Combat,Structured,5,0.35
Forest_Burning,Survival,Chaotic,Combat,-17,0.88
Cave_Ice,Exploration,Survival,Structured,-15,0.80
Grassland_AcidRain,Survival,Chaotic,Exploration,-19,0.85
Urban_DataVault,Structured,Exploration,Social,8,0.42
Mountain_Volcanic,Chaotic,Survival,Combat,-16,0.78
Coastal_Harbor,Social,Structured,Peaceful,10,0.38
Forest_Petrified,Peaceful,Exploration,Structured,5,0.60
Urban_Arena,Combat,Social,Structured,-5,0.45
Oasis,Peaceful,Social,Exploration,15,0.20
Coastal_Abyssal,Exploration,Survival,Combat,-14,0.75
Urban_Skyline,Exploration,Structured,Combat,2,0.52
Cave_MutantNest,Combat,Survival,Chaotic,-18,0.68
Grassland_TraderCaravan,Social,Peaceful,Exploration,8,0.40
Mountain_Geothermal,Structured,Survival,Exploration,12,0.25
Canyon_Boneyard,Survival,Exploration,Combat,-12,0.72
Encampment_Hydroponic,Peaceful,Structured,Social,16,0.15
Wasteland_StormWall,Chaotic,Survival,Combat,-20,0.90
Ruins_Cathedral,Peaceful,Structured,Exploration,14,0.45
Grassland_Nomad,Social,Exploration,Peaceful,7,0.50
Mountain_Observatory,Exploration,Peaceful,Structured,4,0.62
Swamp_Flesh,Survival,Combat,Chaotic,-19,0.82
Encampment_Warlord,Combat,Chaotic,Social,-8,0.50
Coastal_Tidal,Exploration,Survival,Structured,2,0.55
Canyon_Echo,Structured,Exploration,Peaceful,6,0.58
Forest_Artificial,Exploration,Peaceful,Structured,5,0.48
