RelationshipID,EntitiesInvolved,InitialTrustLevel,PerceptionModifiers,HistoryNotes
901,"NPC_Raven; NPC_Grim",9,"Mutual respect and shared leadership.","Raven and Grim have led the Raiders together for years, with Grim serving as Raven's trusted lieutenant."
902,"NPC_Raven; NPC_Aaron",6,"Complicated past and current tension.","Aaron's military background conflicts with Raven's raider philosophy, but they maintain cautious respect."
903,"NPC_Raven; NPC_Elara",2,"Ideological opposition and resource conflicts.","Raiders and Remnants compete for territory and resources, with Raven viewing Elara's knowledge-focused approach as weakness."
904,"NPC_Elara; NPC_Marcus",8,"Professional collaboration and mutual respect.","Dr. Whitlock and Marcus work closely on Remnant security and research projects, forming a strong professional bond."
905,"NPC_Elara; NPC_Sophia",9,"Mentor-student relationship and shared passion.","Elara mentors Sophia in advanced research, both sharing a deep belief in knowledge and technological harmony."
906,"NPC_Marcus; NPC_Sophia",8,"Protective partnership and technical collaboration.","Marcus ensures Sophia's safety during dangerous tech interface work, while she provides him with security system upgrades."
907,"NPC_Grim; NPC_Template_Raider_1",7,"Chain of command and battle-tested loyalty.","Grim has personally trained the Raider Scout and trusts him for reconnaissance missions."
908,"NPC_Grim; NPC_Template_Raider_2",8,"Veteran partnership and defensive coordination.","The Raider Guard served under Grim's command during major battles, earning his complete trust."
909,"NPC_Raven; NPC_Template_Raider_4",6,"Leadership respect and hunting expertise.","Raven values the Hunter's skills for feeding the raider community and gathering intelligence."
910,"NPC_Template_Raider_3; NPC_Template_Raider_5",7,"Professional cooperation and shared duties.","The Medic and Mechanic work together to keep raiders healthy and equipment functional."
911,"NPC_Elara; NPC_Template_Remnant_1",8,"Academic partnership and knowledge preservation.","The Archivist assists Dr. Whitlock in cataloging and preserving ancient knowledge."
912,"NPC_Marcus; NPC_Template_Remnant_3",9,"Military hierarchy and defensive coordination.","Marcus directly commands the Remnant Guard in protecting the enclave from threats."
913,"NPC_Template_Remnant_2; NPC_Template_Remnant_4",7,"Community cooperation and essential services.","The Farmer and Healer work together to ensure the Remnant community's basic needs are met."
914,"NPC_Sophia; NPC_Template_Reclaimer_1",8,"Technical collaboration and shared vision.","Both technicians share knowledge about machine interfaces and harmonic coexistence."
915,"NPC_Sophia; NPC_Template_Reclaimer_2",9,"Programming partnership and innovation.","The two programmers collaborate on advanced AI interface projects and code optimization."
916,"NPC_Template_Reclaimer_3; NPC_Template_Reclaimer_4",6,"Field cooperation and equipment maintenance.","The Scout brings damaged equipment to the Mechanic for repair and upgrades."
917,"NPC_Lily; NPC_Jorin",8,"Village partnership and mutual support.","The herbalist and blacksmith have worked together for years, supporting their peaceful community."
918,"NPC_Lily; NPC_Template_Remnant_4",7,"Healer network and knowledge sharing.","Both healers exchange knowledge about medicinal herbs and treatment techniques."
919,"NPC_Jorin; NPC_Template_Remnant_5",6,"Artisan cooperation and material trading.","The blacksmith and artisan trade materials and techniques for their respective crafts."
920,"NPC_Evelyn; NPC_Elara",7,"Academic respect and knowledge exchange.","Both scholars share research findings and ancient texts, despite being from different institutions."
921,"NPC_Evelyn; NPC_Wanderer",5,"Mysterious guidance and cryptic teachings.","The Wanderer occasionally appears at the Academy, providing cryptic advice that proves valuable."
922,"NPC_Alpha7; NPC_Template_Machine_1",8,"Hierarchical command and surveillance network.","The Observer reports directly to Alpha-7, providing critical reconnaissance data."
923,"NPC_Alpha7; NPC_Template_Machine_2",9,"Primary security protocol and zone defense.","The Sentinel follows Alpha-7's directives to protect key machine-controlled territories."
924,"NPC_Alpha7; NPC_NullPersister",3,"Ideological conflict and competing directives.","Alpha-7's adaptive approach conflicts with Null Persister's destructive absolutism."
925,"NPC_Alpha7; NPC_Mnemonoid",4,"Data competition and resource conflicts.","Both AIs compete for access to human data sources and computational resources."
926,"NPC_NullPersister; NPC_ImmutableApex",6,"Shared hostility and tactical cooperation.","Both rogue AIs share hatred for human interference but maintain separate operational methods."
927,"NPC_Mnemonoid; NPC_Template_RogueAI_2",8,"Data obsession and corruption partnership.","Both entities focus on data acquisition and manipulation, sharing corrupted archives."
928,"NPC_ImmutableApex; NPC_Template_RogueAI_3",9,"Logic supremacy and enforcement hierarchy.","The Logic Judge operates under ImmutableApex's directives for logical perfection."
929,"NPC_Aaron; NPC_Marcus",6,"Military background and tactical respect.","Both veterans recognize each other's combat experience and tactical knowledge."
930,"NPC_Aaron; NPC_Wanderer",4,"Haunted past and mysterious guidance.","The Wanderer offers cryptic advice about Aaron's guilt and path to redemption."
931,"NPC_Wanderer; NPC_Alpha7",3,"Ancient mystery and AI curiosity.","Alpha-7 cannot fully analyze the Wanderer, creating tension and fascination."
932,"NPC_Wanderer; NPC_Raven",4,"Philosophical challenge and leadership test.","The Wanderer occasionally appears to challenge Raven's beliefs about strength and leadership."
933,"NPC_Raven; NPC_Template_Machine_2",1,"Active hostility and territorial conflict.","Raiders regularly clash with Machine Sentinels over territory and resources."
934,"NPC_Marcus; NPC_Template_RogueAI_1",2,"Security threat and infiltration attempts.","Marcus has detected and repelled multiple infiltration attempts by the Rogue AI."
935,"NPC_Template_Raider_4; NPC_Fox",3,"Hunter-prey dynamic and territorial respect.","The Hunter respects the fox's cunning while competing for the same hunting grounds."
936,"NPC_Template_Raider_4; NPC_Wolf",2,"Dangerous encounters and territorial conflict.","The Hunter has had several dangerous encounters with wolf packs in raider territory."
937,"NPC_Squirrel; NPC_Fox",2,"Predator-prey relationship and forest territory.","Natural predator-prey dynamic with the fox hunting squirrels in forest areas."
938,"NPC_Fox; NPC_Rabbit",1,"Active predation and survival instinct.","The fox actively hunts rabbits as a primary food source."
939,"NPC_Wolf; NPC_Deer",2,"Pack hunting and herd dynamics.","Wolves hunt deer in coordinated pack attacks, creating natural tension."
940,"NPC_Wraith; NPC_WraithAlpha",9,"Pack hierarchy and alpha leadership.","The Alpha leads the mutated pack with absolute authority and tactical coordination."
941,"NPC_WraithAlpha; NPC_Aaron",1,"Territorial hostility and survival conflict.","The Wraith Alpha has specifically targeted Aaron, recognizing him as a significant threat."
942,"NPC_Template_Raider_1; NPC_Template_Reclaimer_4",3,"Territorial scouting and resource competition.","Both scouts monitor each other's movements, leading to tense standoffs."
943,"NPC_Template_Remnant_2; NPC_Template_Machine_5",4,"Resource competition and cautious coexistence.","The Farmer competes with Machine Harvesters for agricultural resources."
944,"NPC_Lily; NPC_Template_Raider_3",5,"Healer neutrality and medical assistance.","Despite faction differences, Lily has provided medical aid to injured raiders."
945,"NPC_Template_Reclaimer_5; NPC_Template_Remnant_1",7,"Diplomatic cooperation and information exchange.","The Mediator works with the Archivist to facilitate knowledge sharing between groups."
946,"NPC_Sophia; NPC_Alpha7",5,"Technical curiosity and cautious communication.","Sophia attempts to establish peaceful communication protocols with Alpha-7."
947,"NPC_Template_Machine_3; NPC_Template_RogueAI_4",2,"Loyalty conflict and corruption threat.","The Machine Courier resists data corruption attempts by the Rogue AI Eraser."
948,"NPC_Evelyn; NPC_Template_RogueAI_1",1,"Academic threat and knowledge protection.","The Scholar protects ancient texts from AI infiltration and data theft attempts."
949,"NPC_Template_Raider_5; NPC_Template_Reclaimer_3",4,"Technical rivalry and equipment competition.","Both mechanics compete for salvageable machine parts and technical components."
950,"NPC_Jorin; NPC_Aaron",6,"Craftsman respect and weapon maintenance.","Jorin has provided weapon maintenance services to Aaron during his wanderings."
