Type,Unique Name,Display Name,Description,Essentials,Quest Log Widget,Quest Completed Widget,Quest Failed Widget,Sequences,Rewards,Quests To Add On Completed
Side,Supply_Run,Supply Run,Help the Raiders replenish their supplies by raiding a nearby abandoned warehouse.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Stealth skills, basic combat abilities, Raider trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Raider Supplies; Skill: Resourceful Scavenging; Knowledge: Raider supply routes.,
Side,Signal_Disruption,Signal Disruption,Disable communication towers used by rival factions to hinder their coordination.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Basic hacking skills, stealth, Raider approval.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Communication Jammers; Skill: Sabotage Techniques; Knowledge: Weaknesses in rival factions' communications.,
Side,Guard_Duty,Guard Duty,Assist in guarding a Raider outpost during a critical meeting to ensure security.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Combat readiness, Raider trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Raider Guard Armor; Skill: Defensive Tactics; Knowledge: Raider internal politics.,
Side,Weapon_Maintenance,Weapon Maintenance,Help the Raiders repair and maintain their weaponry for upcoming battles.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Mechanical skills, access to repair tools.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Repaired Weapon; Skill: Weapon Maintenance; Knowledge: Access to better Raider equipment.,
Side,Interrogate_a_Prisoner,Interrogate a Prisoner,Extract information from a captured spy suspected of leaking Raider plans.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Persuasion skills, Raider trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Intel on rival faction; Skill: Interrogation Techniques; Knowledge: Increased Raider trust.,
Side,Medical_Supplies_Delivery,Medical Supplies Delivery,Deliver much-needed medical supplies to a Remnant outpost affected by illness.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Ability to navigate dangerous terrain, Remnant trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Remnant Medkit; Skill: Medical Knowledge; Knowledge: Improved relations with Remnant healers.,
Side,Data_Backup,Data Backup,Assist in backing up critical data from aging servers in the Remnant archives.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Computing skills, Remnant trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Data Storage Device; Skill: Data Management; Knowledge: Access to Remnant archives.,
Side,Garden_Restoration,Garden Restoration,Help restore a Remnant greenhouse to grow sustainable food sources.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Repair skills, knowledge of plants.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Fresh Produce; Skill: Botany Basics; Knowledge: Sustainable food practices.,
Side,Lost_Courier,Lost Courier,Find a missing courier who was carrying important documents for the Remnants.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Tracking skills, willingness to help.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Confidential Documents; Skill: Courier Routes; Knowledge: Remnant operational details.,
Side,Energy_Conservation,Energy Conservation,Implement energy-saving measures in a Remnant settlement to improve efficiency.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Engineering skills, Remnant trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Energy Cells; Skill: Energy Efficiency; Knowledge: Improved settlement sustainability.,
Side,Component_Collection,Component Collection,Gather electronic components from abandoned sites for Reclaimer projects.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Scavenging skills, Reclaimer trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Electronic Components; Skill: Component Identification; Knowledge: Access to Reclaimer workshops.,
Side,Test_the_Prototype,Test the Prototype,Field-test a new device developed by the Reclaimers and report its performance.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Willingness to take risks, Reclaimer trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Prototype Device; Skill: Field Testing; Knowledge: Early access to new technologies.,
Side,Recruitment_Drive,Recruitment Drive,Help the Reclaimers recruit skilled individuals from neutral settlements.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Persuasion skills, understanding of Reclaimer ideals.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Reclaimer Badge; Skill: Recruitment Techniques; Knowledge: Increased Reclaimer influence.,
