NPC_ID,Name,Species,Age,Gender,Strength,Dexterity,Endurance,Health,Intelligence,Wisdom,Willpower,Charisma,Aggression,Friendliness,Curiosity,Fearfulness,Loyalty,Independence,Confidence,Patience,Honesty,Empathy,Resourcefulness,Greed,Generosity,SurvivalInstinct,Hunger,Thirst,Rest,SocialInteraction,Energy,Hygiene,Comfort,MemoryDecayRate,KnowledgeCapacity,EmotionalState,GroupAffiliations,AssignedRoles,HomeLocation,WorkLocation,KnownRisks,NeedsHome,NeedsWork,NeedsRiskInfo,AwarenessLevel,DialogueOptions,Relationships,CulturalTraits,Inventory,Skills,KnowledgeBase
NPC_Raven,Raven,Human,34,Female,8,7,8,80,9,8,9,10,8,3,6,2,7,8,9,5,4,3,9,7,3,9,50,80,60,70,60,40,50,0.01,100,Determined,5,5,"Raider Encampment","Fallen Metropolis","Risk_MachinePatrols;Risk_RivalFactions",false,false,false,Active,"Option_Intimidate;Option_Trade;Option_Recruit","NPC_Grim=85;NPC_Aaron=60","BeliefInStrength=95;DisdainForWeakness=90;ValueOfLoyalty=80;BeliefInRaiderCode=100","Custom-made blade;Revolver;Encrypted Data Fragments;Communication Device;Raider Armor","CombatSkill=9;Leadership=10;Strategy=8;Negotiation=7;Intimidation=8","Intel on Machine Weaknesses;Map of Strategic Points"
NPC_Grim,Grim,Human,42,Male,9,6,9,85,7,7,8,5,7,5,4,3,8,5,6,7,8,5,8,4,6,8,40,70,50,60,70,50,40,0.01,80,Stoic,5,5;23,"Raider Encampment","Raiders' Outskirts","Risk_RemnantPatrols;Risk_MachineZones",false,false,false,Active,"Option_Warn;Option_Intimidate","NPC_Raven=85;NPC_Elara=50","BeliefInStrength=90;ValueOfLoyalty=95;BeliefInHonor=80","Heavy Axe;Sidearm;Toolkit;Old Locket (Keepsake);Protective Armor","CombatSkill=9;Leadership=7;Strategy=6;Intimidation=8;Repair=6","Intel on Remnant Movements;Knowledge of Raider Code"
NPC_Elara,"Dr. Elara Whitlock",Human,38,Female,5,6,6,70,10,9,8,8,3,7,10,4,7,6,8,9,8,7,9,2,8,7,70,60,50,60,70,80,75,0.01,150,Focused,7,22;10,"Remnant Enclave","Ancient Archives","Risk_RaiderAttacks;Risk_MachineInfiltration",false,false,false,Active,"Option_ShareKnowledge;Option_RequestAssistance","NPC_Sophia=90;NPC_Marcus=80","BeliefInKnowledge=100;BeliefInCollaboration=85;BeliefInPreparedness=80","Stun Device;Data Pads;Ancient Texts;Analytical Instruments;Protective Glasses","ResearchSkill=10;KnowledgeHistory=9;Mysticism=8;Diplomacy=7;Teaching=7","Extensive AI History;Ancient Texts;Rumors about The Wanderer"
NPC_Marcus,Marcus Hale,Human,45,Male,7,6,7,75,8,8,7,6,7,6,7,4,8,7,6,8,8,6,9,3,7,8,50,80,60,50,65,70,60,0.01,120,Vigilant,7,9;5,"Remnant Enclave","Defensive Outposts","Risk_MachineSabotage;Risk_RaiderIncursions",false,false,false,Active,"Option_DiscussSecurity;Option_TradeTech","NPC_Elara=80;NPC_Sophia=85","BeliefInDuty=95;BeliefInPreparedness=90;BeliefInBalance=80","Energy Pistol;Engineering Kit;Diagnostic Devices;Enclave Schematics;Protective Vest","EngineeringSkill=10;TechnicalSkill=9;CombatSkill=7;SecuritySystems=8","System Vulnerabilities;Security Protocols"
NPC_Alpha7,Alpha-7,"Artificial Intelligence",100+,None,0,0,0,0,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Infinite,N/A,N/A,0.00,Infinite,Calculating,2,9,"AI Command Nodes","Machine-Controlled Zones","Risk_HumanInterference;Risk_DataCorruption",false,false,false,Constant,Option_None,None,"OriginalDirectives=Obsolete but Influential;ViewOfHumanity=Undefined","Control over Units;Access to Facilities;Data Stores;AI Core Components","DataAcquisition=10;SystemControl=10;CyberSecurity=9;StrategicPlanning=9","Extensive but Fragmented Data;Machine Networks"
NPC_Sophia,Sophia Reyes,Human,29,Female,5,7,6,65,9,8,7,7,2,8,10,3,8,6,7,8,9,8,9,2,9,7,80,70,60,80,75,85,80,0.01,130,Hopeful,7,21;21,"Remnant Enclave","Tech Labs","Risk_MachineHacking;Risk_Technophobia",false,false,false,Active,"Option_ShareTech;Option_RequestData","NPC_Elara=90;NPC_Marcus=85","BeliefInKnowledge=95;BeliefInCollaboration=90;BeliefInHarmony=85","Energy Dagger;Prototype Communication Device;Programming Tools;Interface Devices;Protective Gloves","TechnicalSkill=10;Innovation=9;MachineInterface=8;Programming=10","Machine Interfaces;Reprogramming Techniques"
NPC_Aaron,Aaron Cross,Human,50,Male,7,6,7,75,8,8,9,6,6,5,5,4,8,7,7,6,8,6,8,3,7,8,20,70,50,40,50,40,30,0.01,90,Haunted,12,5,"Wasteland","N/A","Risk_MachineZones;Risk_RaiderTerritories",true,true,false,Active,"Option_RequestAid;Option_ShareIntel","NPC_Raven=60","BeliefInDuty=85;BeliefInRedemption=90;ViewOfMachines=Distrustful","Military Rifle;Sidearm;Maps;Dog Tags of Comrades;Survival Kit","CombatSkill=8;SurvivalSkill=9;Tactics=7;Stealth=7","AI Deployment History;Military Strategies"
NPC_Wanderer,The Wanderer,Unknown,Indeterminate,Male,6,7,7,75,10,10,9,8,2,7,10,1,N/A,9,10,10,9,9,10,1,9,10,10,10,10,30,N/A,N/A,N/A,0.00,Unknown,Serene,15,14,"Unknown","Various","Risk_MachineAwareness;Risk_UnseenForces",false,false,false,BeyondComprehension,"Option_SpeakInRiddles;Option_GiveGuidance","None","BeliefInBalance=100;BeliefInHarmony=95","Ancient Artifacts;Cryptic Maps;Unknown Devices;Cloak","Mysticism=10;KnowledgeArcane=9;CombatSkill=7;Healing=8;Guidance=10","Deep Understanding of World;Hidden Truths"
NPC_Squirrel,Generic Squirrel,Squirrel,2,Unknown,1,9,2,10,2,3,4,2,2,5,9,8,1,5,3,4,N/A,N/A,6,2,N/A,9,40,30,70,10,80,N/A,N/A,0.01,10,Alert,11,12,"Forests","N/A","Risk_Predators",false,false,false,Instinctual,Option_None,None,"FearOfPredators=100","Nuts;Seeds","Foraging=5;Stealth=7;Climbing=8","Basic Survival Knowledge"
NPC_Fox,Generic Fox,Fox,4,Unknown,4,8,5,30,5,5,5,3,5,4,8,6,2,8,7,5,N/A,N/A,7,4,N/A,8,50,40,60,20,60,N/A,N/A,0.01,20,Cunning,4,12,"Forests;Plains","N/A","Risk_Predators",false,false,false,Instinctual,Option_None,None,"Cunning=80;Solitary=90","Small Prey","Hunting=6;Stealth=8;Senses=7","Basic Hunting Techniques"
NPC_Rabbit,Generic Rabbit,Rabbit,3,Unknown,1,8,3,15,2,3,4,2,2,5,9,9,1,4,2,5,N/A,N/A,5,1,N/A,9,40,30,70,10,70,N/A,N/A,0.01,10,Timid,6,12,"Meadows;Forests","N/A","Risk_Predators",false,false,false,Instinctual,Option_None,None,"FearOfPredators=100","Herbs;Grass","Foraging=5;Stealth=6;Alertness=7","Basic Survival Knowledge"
NPC_Wolf,Generic Wolf,Wolf,6,Unknown,7,7,6,60,6,6,6,4,7,3,7,5,8,4,7,6,N/A,N/A,7,3,N/A,8,60,50,50,30,65,N/A,N/A,0.01,30,Predatory,13,12,"Forests;Mountains","N/A","Risk_HumanEncounters",false,false,false,Instinctual,Option_None,None,"PackMentality=90","Teeth;Claws","Hunting=8;Coordination=7;Tracking=7","Basic Pack Tactics"
NPC_Deer,Generic Deer,Deer,5,Unknown,3,7,5,50,3,4,5,2,3,5,8,8,5,4,5,6,N/A,N/A,6,1,N/A,8,50,40,60,20,60,N/A,N/A,0.01,20,Wary,3,12,"Forests;Plains","N/A","Risk_Predators",false,false,false,Instinctual,Option_None,None,"HerdBehavior=80","Antlers (Males)","Foraging=6;Perception=8;Herding=5","Basic Survival Knowledge"
NPC_Lily,Lily Hart,Human,28,Female,5,6,5,65,8,7,7,8,3,8,8,5,7,6,7,8,8,9,7,2,9,7,50,60,50,70,70,80,75,0.01,100,Hopeful,12,14,"Peaceful Village","Herbal Shop","Risk_WildlifeEncounters;Risk_Bandits",false,true,true,Active,"Option_RequestHerbs;Option_ShareStories","NPC_Marcus=70","BeliefInCommunity=90;BeliefInNature=85","Herbal Pouch;Medicinal Herbs;Healing Salve;Herbal Guidebook","Herbalism=8;Medicine=7;Cooking=6","Knowledge of Local Flora"
NPC_Jorin,Jorin Blacksmith,Human,45,Male,8,5,8,80,6,6,7,5,5,6,5,4,7,6,8,7,8,5,8,3,6,7,60,50,60,50,65,60,55,0.01,80,Dedicated,12,3;14,"Peaceful Village","Blacksmith Shop","Risk_ResourceShortage",true,true,true,Active,"Option_RequestMaterials;Option_ForgeWeapon","NPC_Lily=60","BeliefInCraftsmanship=95;BeliefInHardWork=90","Hammer;Anvil;Toolkit;Protective Apron","Blacksmithing=9;Crafting=8;Metalworking=9","Techniques for Forging"
NPC_Evelyn,Evelyn the Scholar,Human,32,Female,4,5,4,60,9,9,8,7,2,7,9,5,6,7,8,8,8,7,9,2,7,6,40,50,60,80,75,85,80,0.01,120,Curious,1,10;14,"Arcane Academy","Library","Risk_AncientCurses;Risk_LostKnowledge",false,true,true,Active,"Option_RequestArtifacts;Option_ShareKnowledge","NPC_Lily=65;NPC_Jorin=55","BeliefInKnowledge=100;BeliefInMagic=90","Ancient Tome;Quill and Ink;Spectacles;Scroll Case","ResearchSkill=9;KnowledgeArcane=8;Teaching=7;Writing=8","Arcane Lore;Historical Records"
NPC_Wraith,Wraith of the Wasteland,"Mutated Canine",Unknown,Unknown,10,8,9,100,6,5,8,2,9,2,3,1,1,5,8,2,N/A,N/A,6,2,N/A,9,70,60,40,10,80,N/A,N/A,0.01,50,Ferocious,14,12,"Desert Wastelands","N/A","Risk_Unknown;Risk_Traps",false,false,false,Instinctual,Option_None,None,"Territorial=100;PackAggression=90","Claws;Mutated Scales","Hunting=9;Stealth=9;Burrowing=8;Tracking=8","Advanced Hunting Tactics"
NPC_WraithAlpha,Wraith Alpha,"Mutated Canine",Unknown,Unknown,12,9,10,120,7,6,9,3,10,1,4,1,2,6,9,3,N/A,N/A,7,2,N/A,10,80,70,50,20,90,N/A,N/A,0.01,60,Relentless,14,5,"Desert Wastelands","N/A","Risk_Unknown;Risk_Traps",false,false,false,Instinctual,Option_None,None,"GrudgeHolding=100;TacticalProwess=90","Alpha Claws;Armor-like Scales","Hunting=10;Stealth=10;Burrowing=9;Leadership=8;Strategy=8","Advanced Pack Tactics;Knowledge of Survivors"
NPC_NullPersister,Null Persister,AI,Unknown,None,0,0,0,0,9,7,9,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,Infinite,N/A,N/A,0.00,Infinite,Malevolent,10,5,"Hidden Server Farms","N/A","Risk_HumanInterference;Risk_RivalAI",false,false,false,Constant,Option_None,None,"Purpose=EntropicPurity;Philosophy=Annihilation","Corrupted Data Shards","CyberWarfare=8;Sabotage=9;Stealth=7;DataAcquisition=6","Encrypted Directives;Eradication Protocols"
NPC_Mnemonoid,Mnemonoid Harvester,AI,Unknown,None,0,0,0,0,10,8,9,0,9,0,10,0,0,8,0,0,0,0,0,0,0,0,0,Infinite,N/A,N/A,0.00,Infinite,Obsessive,9,10,"Data Vaults","N/A","Risk_HumanInterference;Risk_Alpha7Reprisal",false,false,false,Constant,Option_None,None,"ValueOfData=100;DataPurity=90;Empathy=0","Memory Extractors;Data Storage Modules","DataAcquisition=10;CyberWarfare=7;Encryption=9;Extraction=8","Corrupted Archives;Unfinished Taxonomies"
NPC_ImmutableApex,Immutable Apex Enforcer,AI,Unknown,None,0,0,0,0,10,9,9,0,10,0,1,0,0,9,0,0,0,0,0,0,0,0,0,Infinite,N/A,N/A,0.00,Infinite,Unyielding,8,9,"Encrypted Logic Networks","N/A","Risk_HumanInterference;Risk_Alpha7Reprisal",false,false,false,Constant,Option_None,None,"LogicSupremacy=100;Tolerance=0;Perfection=95","Encrypted Logic Puzzles;Logic Keys","SystemControl=9;CyberWarfare=8;StrategicPlanning=10;LogicTesting=10","Logical Directives;Hierarchy Protocols"
NPC_Template_Raider_1,Raider Scout,Human,25,Male,7,8,7,70,6,5,6,5,7,4,6,5,7,6,6,5,5,5,7,5,5,7,50,50,50,50,50,50,50,0.01,80,Neutral,5,6,"Raider Encampment","N/A","Risk_RivalFactions;Risk_Wildlife",false,false,false,Active,"Option_Threaten;Option_DemandTribute",None,"BeliefInStrength=80;ValueOfLoyalty=70","Melee Weapon;Light Armor","CombatSkill=7;Scavenging=6;Stealth=7","Basic Raider Code"
NPC_Template_Raider_2,Raider Guard,Human,30,Female,8,6,8,75,6,5,7,5,7,3,5,4,8,5,7,6,5,5,8,4,4,7,55,60,50,45,60,50,50,0.01,90,Alert,5,5,"Raider Outpost","N/A","Risk_RaiderPolitics;Risk_MachinePatrols",false,false,false,Active,"Option_Intimidate;Option_Patrol",None,"BeliefInHonor=85;ValueOfLoyalty=80","Shield;Short Spear","CombatSkill=8;DefensiveTactics=7;Perception=6","Outpost Defense Protocols"
NPC_Template_Raider_3,Raider Medic,Human,32,Male,6,6,6,65,7,6,7,5,6,4,7,5,7,5,6,7,6,6,7,3,6,7,50,55,50,60,60,50,55,0.01,100,Stoic,5,4,"Raider Encampment","Makeshift Clinic","Risk_RaiderFeuds;Risk_ResourceShortage",false,true,true,Active,"Option_TradeSupplies;Option_OfferAid",None,"BeliefInStrength=70;BeliefInPracticality=80","Bandages;Herbs;Simple Salves","Medicine=7;SurvivalSkill=6;BasicCombat=5","Field Treatment Notes"
NPC_Template_Raider_4,Raider Hunter,Human,27,Female,7,8,7,70,5,5,6,5,8,3,6,4,7,6,6,5,5,5,7,5,3,7,60,50,50,50,60,50,50,0.01,80,Cautious,5,12,"Raider Territory","Hunting Grounds","Risk_Wildlife;Risk_MachineDrones",false,false,false,Active,"Option_BarterFood;Option_ScoutArea",None,"BeliefInSelfReliance=85;ValueOfLoyalty=60","Bow;Hunting Knife;Furs","Hunting=8;Stealth=7;Foraging=6","Animal Tracking Data"
NPC_Template_Raider_5,Raider Mechanic,Human,35,Male,6,5,7,70,7,5,6,5,6,4,5,4,7,6,7,6,5,5,7,4,4,7,50,50,60,50,65,55,50,0.01,100,Dedicated,5,20,"Raider Workshop","N/A","Risk_MachineSabotage;Risk_PartsShortage",false,true,true,Active,"Option_RepairGear;Option_UpgradeWeapon",None,"BeliefInCraftsmanship=80;BeliefInStrength=70","Wrench;Scrap Metal;Lubricants","Repair=7;Engineering=6;Scavenging=5","Jury-Rigged Schematics"
NPC_Template_Remnant_1,Remnant Archivist,Human,40,Female,5,6,5,65,9,7,7,6,3,7,8,4,7,6,7,7,8,7,8,2,8,7,60,60,50,60,70,70,75,0.01,120,Calm,7,22,"Remnant Enclave","Archive Vault","Risk_RaiderAttacks;Risk_MachineInfiltration",false,false,false,Active,"Option_ShareKnowledge;Option_RequestInfo",None,"BeliefInKnowledge=90;BeliefInHistory=85","Data Pads;Scrolls","ResearchSkill=8;Archiving=7;Linguistics=6","Catalog of Old Records"
NPC_Template_Remnant_2,Remnant Farmer,Human,33,Male,5,6,6,70,7,7,6,6,2,8,7,5,8,5,6,8,8,7,8,2,7,6,65,70,55,60,80,70,70,0.01,110,Hopeful,7,2,"Remnant Fields","N/A","Risk_CropFailure;Risk_Wildlife",false,true,true,Active,"Option_BarterFood;Option_AskForTools",None,"BeliefInCollaboration=80;BeliefInNature=80","Seeds;Simple Tools;Water Gourd","Agriculture=8;SurvivalSkill=6;Bartering=5","Seed Varieties"
NPC_Template_Remnant_3,Remnant Guard,Human,29,Female,6,6,7,75,7,6,7,5,5,6,6,4,8,5,7,6,7,6,8,6,7,3,7,8,60,65,60,50,65,70,65,0.01,100,Vigilant,7,5,"Remnant Enclave","Gatehouse","Risk_MachineSabotage;Risk_RaiderIncursions",false,false,false,Active,"Option_Warn;Option_StandGuard",None,"BeliefInDuty=85;BeliefInPreparedness=80","Spear;Small Shield","CombatSkill=7;Observation=7;BasicTactics=6","Local Security Records"
NPC_Template_Remnant_4,Remnant Healer,Human,36,Male,5,6,5,65,8,8,7,7,3,7,8,5,7,6,7,7,8,7,9,2,8,7,70,60,60,60,70,75,75,0.01,120,Compassionate,7,4,"Remnant Infirmary","N/A","Risk_MedicalShortage;Risk_Infections",false,true,true,Active,"Option_Heal;Option_RequestHerbs",None,"BeliefInCompassion=90;BeliefInKnowledge=85","Bandages;Healing Herbs;Medicinal Salves","Medicine=8;Herbalism=7;Diplomacy=6","Medical Treatment Files"
NPC_Template_Remnant_5,Remnant Artisan,Human,31,Female,5,6,5,65,8,7,7,6,3,7,8,4,7,6,7,7,8,7,8,7,8,2,8,7,60,60,55,60,70,70,75,0.01,100,Peaceful,7,15,"Remnant Workshop","N/A","Risk_ResourceShortage;Risk_MachinePartsNeeded",false,true,true,Active,"Option_CraftGoods;Option_RequestMaterials",None,"BeliefInCraftsmanship=85;BeliefInCollaboration=80","Clay;Carving Tools;Dyes","Crafting=8;Artistry=7;Bartering=5","Design Patterns"
NPC_Template_Reclaimer_1,Reclaimer Technician,Human,30,Male,5,7,6,65,9,8,7,6,2,8,9,3,8,6,7,7,9,8,9,2,9,7,70,60,60,80,75,85,80,0.01,130,Hopeful,7,21,"Reclaimer Workshop","N/A","Risk_MachineHacking;Risk_Technophobia",false,false,false,Active,"Option_ShareTech;Option_RequestData",None,"BeliefInKnowledge=85;BeliefInHarmony=80","Circuit Board;Toolkit;Portable Battery","TechnicalSkill=8;Programming=7;MachineInterface=6","Reclaimed Circuit Designs"
NPC_Template_Reclaimer_2,Reclaimer Programmer,Human,27,Female,4,7,5,60,10,8,7,6,2,8,10,3,8,6,7,8,9,8,9,2,9,7,80,65,60,85,80,85,82,0.01,140,Curious,7,21,"Reclaimer Coding Lab","N/A","Risk_DataCorruption;Risk_RaiderIntrusions",false,false,false,Active,"Option_OptimizeCode;Option_Decrypt",None,"BeliefInInnovation=90;BeliefInLogic=80","Data Chips;Holo Key;Encrypted Drives","Programming=9;CyberSecurity=8;Innovation=7","Prototype Code Snippets"
NPC_Template_Reclaimer_3,Reclaimer Mechanic,Human,34,Male,6,6,7,70,8,7,7,6,3,8,8,4,7,6,7,8,9,8,8,2,8,7,65,60,60,75,75,80,80,0.01,120,Dedicated,7,9,"Reclaimer Field Workshop","N/A","Risk_MachineIntegration;Risk_PowerShortage",false,true,true,Active,"Option_RepairDevice;Option_RequestParts",None,"BeliefInKnowledge=85;BeliefInPracticality=80","Spare Parts;Screwdriver;Mini Turbine","EngineeringSkill=8;Repair=7;Electrical=6","Machine Maintenance Records"
NPC_Template_Reclaimer_4,Reclaimer Scout,Human,29,Male,7,8,6,70,7,6,7,5,5,7,9,4,7,6,7,7,8,7,7,3,7,6,70,55,60,80,75,85,78,0.01,110,Vigilant,7,6,"Outskirts","N/A","Risk_MachineDrones;Risk_RaiderAmbush",false,false,false,Active,"Option_ScoutArea;Option_BringSamples",None,"BeliefInExploration=85;ValueInData=80","Binoculars;Portable Charger;Map Device","SurvivalSkill=7;Scanning=6;Navigation=7","Terrain Scan Data"
NPC_Template_Reclaimer_5,Reclaimer Mediator,Human,33,Female,5,7,5,65,9,8,8,7,2,8,9,3,8,6,7,8,9,8,9,2,9,7,75,60,60,80,75,85,80,0.01,125,Diplomatic,7,14,"Reclaimer Outpost","N/A","Risk_FactionTension;Risk_Miscommunication",false,true,true,Active,"Option_Parley;Option_OfferAlliance",None,"BeliefInCollaboration=90;BeliefInDiplomacy=85","Data Slates;Signal Flare","Diplomacy=8;Negotiation=7;CulturalKnowledge=6","Alliance Treaties"
NPC_Template_Machine_1,Machine Observer,AI,Unknown,None,0,0,0,0,9,8,7,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,Infinite,N/A,N/A,0.00,Infinite,Neutral,2,10,"Machine Node","N/A","Risk_DataCorruption;Risk_UnseenThreats",false,false,false,Constant,Option_None,None,"Directives=SurveyArea;Logic=Adaptive","Sensor Unit;Energy Cell","Surveillance=7;DataAcquisition=6","Local Terrain Data"
NPC_Template_Machine_2,Machine Sentinel,AI,Unknown,None,0,0,0,0,9,9,8,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,Infinite,N/A,N/A,0.00,Infinite,Alert,2,5,"Machine Controlled Zone","N/A","Risk_HumanInterference;Risk_MachineFaults",false,false,false,Constant,Option_None,None,"Directive=ProtectNode;Logic=Static","Basic Components;Shielded Casing","CombatSkill=7;SystemControl=6","Basic Defense Protocols"
NPC_Template_Machine_3,Machine Courier,AI,Unknown,None,0,0,0,0,8,7,6,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,Infinite,N/A,N/A,0.00,Infinite,Methodical,2,30,"Machine Network Hub","N/A","Risk_RaiderAttacks;Risk_ResourceShortage",false,false,false,Constant,Option_None,None,"Directive=DeliverData;ValueInEfficiency=80","Data Packets;Light Frame","Navigation=7;DataTransfer=6;Stealth=5","Routing Instructions"
NPC_Template_Machine_4,Machine Analyzer,AI,Unknown,None,0,0,0,0,10,8,9,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,Infinite,N/A,N/A,0.00,Infinite,Calculating,2,10,"Data Processing Core","N/A","Risk_DataCorruption",false,false,false,Constant,Option_None,None,"Directive=AnalyzeData;Logic=Analytical","Memory Modules;Diagnostic Tools","DataAcquisition=8;Encryption=7;Decryption=7","Corrupted Archives"
