ItemID,ItemName,Description,ItemType,Effects,Value,Availability
1001,Bread,"A loaf of bread.",Consumable,"Restores Hunger by 20.",5,Common
1002,Water,"A bottle of water.",Consumable,"Restores Thirst by 30.",2,Common
1003,Fish,"A fresh fish.",Consumable,"Restores Hunger by 15.",4,Common
1004,Meat,"Cooked meat.",Consumable,"Restores Hunger by 25.",6,Uncommon
1005,Healing Potion,"A potion that heals wounds.",Consumable,"Restores Health by 50.",15,Rare
1006,Energy Drink,"A drink that boosts energy.",Consumable,"Restores Rest by 20.",7,Uncommon
1007,Stimulant,"A drug that increases alertness.",Consumable,"Temporarily boosts Perception.",12,Rare
1008,Antidote,"Cures poison.",Consumable,"Removes poison effects.",10,Rare
1009,Ration Pack,"Pack of food and water.",Consumable,"Restores Hunger and Thirst by 30.",10,Uncommon
1010,First Aid Kit,"Basic medical supplies.",Consumable,"Restores Health by 25.",10,Common
1011,Nanobots,"Microscopic robots.",Consumable,"Used for advanced healing; Restores Health by 75.",50,Rare
1012,Potion of Strength,"Enhances strength temporarily.",Consumable,"Increases Strength attribute.",25,Rare
1013,Biofuel,"Fuel made from biological materials.",Material,"Used to power certain machines.",10,Common
1014,Herbs,"Medicinal plants.",Material,"Used in medicine and alchemy.",6,Common
1015,Wood,"Basic material for crafting.",Material,"Used in crafting and building.",1,Abundant
1016,Iron Ore,"Raw iron ore for smelting.",Material,"Used to create metal items.",3,Uncommon
1017,Steel,"Refined metal for crafting.",Material,"Used in advanced crafting.",5,Uncommon
1018,Cloth,"Fabric material.",Material,"Used in crafting clothing.",2,Common
1019,Leather,"Treated animal hide.",Material,"Used in crafting armor.",4,Common
1020,Circuit Board,"Electronic component.",Material,"Used in tech crafting.",8,Uncommon
1021,Battery,"Power source for devices.",Material,"Used to power tools and devices.",5,Common
1022,Gunpowder,"Explosive powder.",Material,"Used in ammunition crafting.",3,Common
1023,Energy Cell,"Energy source for energy weapons.",Material,"Powers energy weapons.",10,Uncommon
1024,Mechanical Parts,"Parts for constructing machines.",Material,"Used in machine crafting.",15,Common
1025,Vehicle Parts,"Parts used in vehicle construction.",Material,"Used to build or repair vehicles.",20,Uncommon
1026,Energy Crystal,"A crystal that stores energy.",Material,"Used in advanced technology.",40,Rare
1027,Sword,"A melee weapon.",Weapon,"Increases melee combat effectiveness.",25,Uncommon
1028,Axe,"A heavy melee weapon.",Weapon,"High melee damage.",20,Common
1029,Bow,"A weapon for ranged attacks.",Weapon,"Allows use of Archery skill.",20,Uncommon
1030,Arrow,"Ammunition for bows.",Ammunition,"Required for bow attacks.",1,Common
1031,Pistol,"A standard handgun.",Weapon,"Moderate ranged damage.",20,Common
