SkillID,SkillName,Description,Requirements,AssociatedAttributes,AttributeModifiers,EffectOnBehaviors
Skill_CombatSkill,Combat Skill,"Ability to engage effectively in combat.","","Strength;Dexterity;Endurance","DamageOutput:+10%;Defense:+5%","Enhances combat effectiveness."
Skill_Archery,Archery,"Skill in using bows and arrows.","Requires Bow or Crossbow.","Dexterity;Perception","RangedAccuracy:+15%","Improves ranged attack accuracy."
Skill_MeleeWeapons,Melee Weapons,"Proficiency with melee weapons.","","Strength;Dexterity","DamageOutput:+10%","Increases melee damage."
Skill_Stealth,Stealth,"Ability to move unseen and unheard.","","Dexterity;Caution","DetectionChance:-20%","Enhances sneaking and evasion."
Skill_Lockpicking,Lockpicking,"Ability to pick locks on doors and containers.","Requires Lockpick Tools.","Dexterity;Perception","SuccessRate:+15%","Allows access to locked areas."
Skill_Persuasion,Persuasion,"Skill in convincing others.","","Charisma;EmotionalIntelligence","Influence:+10%","Improves dialogue outcomes."
Skill_Bartering,Bartering,"Ability to negotiate better trade deals.","","Charisma;Wisdom","TradeBenefits:+10%","Enhances trading efficiency."
Skill_Intimidation,Intimidation,"Ability to instill fear or compliance.","","Strength;Aggression","EnemyFear:+15%","Increases success in coercive interactions."
Skill_Diplomacy,Diplomacy,"Skill in managing relations and negotiations.","","Charisma;EmotionalIntelligence","RelationImprovement:+10%","Improves relations with others."
Skill_Leadership,Leadership,"Ability to lead and command others.","","Charisma;Willpower","GroupMorale:+15%","Improves group coordination and morale."
Skill_Strategy,Strategy,"Skill in planning and executing strategies.","","Intelligence;Wisdom","TacticalAdvantage:+10%","Improves planning and tactical decisions."
Skill_Tactics,Tactics,"Skill in tactical planning.","","Intelligence;Perception","CombatEffectiveness:+10%","Improves combat strategies."
Skill_SurvivalSkill,Survival Skill,"Ability to survive in harsh conditions.","","Endurance;Willpower","ResourceUseEfficiency:+10%","Enhances survival behaviors."
Skill_Hunting,Hunting,"Proficiency in tracking and hunting animals.","","Perception;Dexterity","HuntingSuccess:+15%","Improves success rate in hunting."
Skill_Fishing,Fishing,"Ability to catch fish.","Requires Fishing Rod.","Patience;Dexterity","FishingSuccess:+20%","Increases fishing efficiency."
Skill_Foraging,Foraging,"Skill in finding edible plants and materials.","","Perception;Wisdom","ResourceDiscovery:+15%","Enhances gathering of resources."
Skill_Tracking,Tracking,"Ability to track creatures or individuals.","","Perception;Intelligence","TrackingAccuracy:+15%","Improves tracking capabilities."
Skill_Cooking,Cooking,"Ability to prepare food.","","Intelligence;Creativity","FoodQuality:+10%","Creates better food items."
Skill_Blacksmithing,Blacksmithing,"Skill in forging metal items.","Requires Forge.","Strength;Endurance","ItemQuality:+15%","Allows crafting of metal items."
Skill_Crafting,Crafting,"General skill in creating items.","","Intelligence;Dexterity","CraftingSpeed:+10%","Enables crafting of various items."
Skill_Tailoring,Tailoring,"Ability to create clothing and armor.","","Dexterity;Creativity","ClothingQuality:+15%","Allows crafting of garments."
Skill_Herbalism,Herbalism,"Knowledge of plants and their properties.","","Intelligence;Wisdom","PotionEffectiveness:+10%","Enables creation of potions."
Skill_Alchemy,Alchemy,"Skill in creating potions and elixirs.","Requires Alchemy Lab.","Intelligence;Wisdom","PotionQuality:+15%","Allows crafting of alchemical items."
