EnvironmentID,ConditionName,WeatherType,Intensity,Duration,ComfortModifier,VisibilityRange,TemperatureModifier,HumidityLevel,WindStrength,bAffectsNPCBehavior,bAffectsInteractiveObjects,bBlocksOutdoorActivities,CloudCoverage,Precipitation,FogColorR,FogColorG,FogColorB,NeedModifiers,TriggerConditions
901,"Clear Sky",0,0.1,3600,-0.1,10000,0,0.3,0.1,1,0,0,0.1,0,0.8,0.9,1.0,"",""
902,"Partly Cloudy",1,0.3,2400,0,8000,0,0.4,0.2,1,0,0,0.4,0,0.7,0.8,0.9,"",""
903,"Overcast",2,0.5,1800,0.1,6000,-2,0.6,0.3,1,1,0,0.8,0,0.6,0.7,0.8,"Comfort:-0.1",""
904,"Light Rain",3,0.4,1200,0.2,4000,-3,0.8,0.4,1,1,0,0.7,0.3,0.5,0.6,0.7,"Thirst:-0.2;Comfort:-0.2","Humidity>0.7"
905,"Heavy Rain",4,0.7,900,0.4,2000,-5,0.9,0.6,1,1,1,0.9,0.7,0.4,0.5,0.6,"Thirst:-0.3;Comfort:-0.4;Rest:0.1","Precipitation>0.5"
906,"Thunderstorm",4,0.9,600,0.6,1500,-6,0.9,0.8,1,1,1,1.0,0.8,0.3,0.4,0.5,"Thirst:-0.4;Comfort:-0.6;Rest:0.2;Fear:0.3","WindStrength>0.7"
907,"Light Snow",6,0.3,2400,0.2,3000,-10,0.4,0.3,1,1,0,0.6,0.2,0.7,0.8,0.9,"Comfort:-0.3;Warmth:-0.4","Temperature<-5"
908,"Heavy Snow",7,0.6,1800,0.5,1000,-15,0.5,0.5,1,1,1,0.9,0.6,0.6,0.7,0.8,"Comfort:-0.5;Warmth:-0.6;Rest:0.1","Temperature<-10"
909,"Blizzard",8,0.9,1200,0.8,500,-20,0.6,0.9,1,1,1,1.0,0.8,0.5,0.6,0.7,"Comfort:-0.8;Warmth:-0.8;Rest:0.3;Fear:0.4","WindStrength>0.8"
910,"Heavy Fog",9,0.5,3600,0.1,800,0,0.9,0.2,1,1,0,0.3,0,0.4,0.4,0.4,"Visibility:-0.6","Humidity>0.8"
911,"Sandstorm",10,0.8,1800,0.6,300,5,0.1,0.8,1,1,1,0.2,0,0.8,0.6,0.4,"Comfort:-0.7;Visibility:-0.8","WindStrength>0.7"
912,"Heatwave",11,0.7,7200,0.4,8000,20,0.2,0.1,1,1,0,0.1,0,1.0,0.9,0.7,"Thirst:0.5;Comfort:-0.4;Rest:0.2","Temperature>35"
913,"Mild Weather",0,0.2,4800,-0.2,9000,2,0.4,0.2,1,0,0,0.2,0,0.75,0.85,0.95,"Comfort:0.1",""
914,"Windy",1,0.4,3600,0.1,7000,0,0.3,0.7,1,1,0,0.3,0,0.7,0.8,0.9,"","WindStrength>0.5"
915,"Drizzle",3,0.2,2400,0.1,5000,-1,0.7,0.3,1,1,0,0.5,0.1,0.6,0.7,0.8,"Thirst:-0.1","Humidity>0.6"
