Faction,Quest Name,Quest Description,Success Conditions,Requirements,Rewards
Raiders,"Supply Run","Help the Raiders replenish their supplies by raiding a nearby abandoned warehouse.","Successfully retrieve supplies without attracting unwanted attention.","Stealth skills, basic combat abilities, Raider trust.","Items: Raider Supplies; Skill: Resourceful Scavenging; Knowledge: Raider supply routes."
Raiders,"Signal Disruption","Disable communication towers used by rival factions to hinder their coordination.","Successfully disable the towers without being detected.","Basic hacking skills, stealth, Raider approval.","Items: Communication Jammers; Skill: Sabotage Techniques; Knowledge: Weaknesses in rival factions' communications."
Raiders,"Guard Duty","Assist in guarding a Raider outpost during a critical meeting to ensure security.","Ensure the meeting proceeds without interruption or attack.","Combat readiness, Raider trust.","Items: Raider Guard Armor; Skill: Defensive Tactics; Knowledge: Raider internal politics."
Raiders,"Weapon Maintenance","Help the Raiders repair and maintain their weaponry for upcoming battles.","Successfully repair weapons to full functionality.","Mechanical skills, access to repair tools.","Items: Repaired Weapon; Skill: Weapon Maintenance; Knowledge: Access to better Raider equipment."
Raiders,"Interrogate a Prisoner","Extract information from a captured spy suspected of leaking Raider plans.","Obtain valuable intel without killing the prisoner.","Persuasion skills, Raider trust.","Items: Intel on rival faction; Skill: Interrogation Techniques; Knowledge: Increased Raider trust."
Remnants,"Medical Supplies Delivery","Deliver much-needed medical supplies to a Remnant outpost affected by illness.","Safely deliver supplies in a timely manner.","Ability to navigate dangerous terrain, Remnant trust.","Items: Remnant Medkit; Skill: Medical Knowledge; Knowledge: Improved relations with Remnant healers."
Remnants,"Data Backup","Assist in backing up critical data from aging servers in the Remnant archives.","Successfully transfer data without any loss.","Computing skills, Remnant trust.","Items: Data Storage Device; Skill: Data Management; Knowledge: Access to Remnant archives."
Remnants,"Garden Restoration","Help restore a Remnant greenhouse to grow sustainable food sources.","Repair the greenhouse and successfully plant seeds.","Repair skills, knowledge of plants.","Items: Fresh Produce; Skill: Botany Basics; Knowledge: Sustainable food practices."
Remnants,"Lost Courier","Find a missing courier who was carrying important documents for the Remnants.","Locate the courier or retrieve the documents safely.","Tracking skills, willingness to help.","Items: Confidential Documents; Skill: Courier Routes; Knowledge: Remnant operational details."
Remnants,"Energy Conservation","Implement energy-saving measures in a Remnant settlement to improve efficiency.","Successfully reduce energy consumption without impacting essential services.","Engineering skills, Remnant trust.","Items: Energy Cells; Skill: Energy Efficiency; Knowledge: Improved settlement sustainability."
