ModifierID,CulturalGroup,ModifierName,Description,TrustImpact,HostilityTriggers,TabooActions,RespectGestures,GiftProtocols,ConflictResolution,InformationSharing,HierarchySignals
CM001,Raider_Culture,Strength_Supremacy,Belief that physical strength determines worth,+30,Perceived weakness;Backing down;Academic discussion,-25,Academic discourse;Refusal to fight;Showing mercy,Displays of strength;Combat prowess;Trophy sharing,Weapons;Combat gear;Trophies from victories,Trial by combat;Strength contests,Direct challenge;Boasting
CM002,Raider_Culture,Brotherhood_Loyalty,Fierce loyalty to raider family and code,+50,Betrayal;Abandoning pack;Breaking raider code,-40,Betraying raiders;Refusing aid to brotherhood;Collaboration with enemies,Loyalty demonstrations;Shared combat;Blood oaths,Personal weapons;War paint;Battle scars as gifts,Pack justice;Collective punishment,Selective to brotherhood;Combat intelligence only
CM003,Remnant_Culture,Knowledge_Reverence,Deep respect for learning and preservation of knowledge,+40,Destroying knowledge;Willful ignorance;Anti-intellectual behavior,-35,Book burning;Rejecting education;Mocking learning,Knowledge sharing;Teaching;Academic respect,Books;Scrolls;Information;Teaching materials,Scholarly debate;Evidence-based resolution,Open knowledge sharing;Academic collaboration
CM004,Remnant_Culture,Formal_Protocol,Structured academic and social protocols,+25,Breach of etiquette;Informal behavior in formal settings,-20,Interrupting scholars;Informal address;Ignoring protocols,Proper citations;Formal greetings;Academic courtesy,Research materials;Formal documents;Academic tools,Formal mediation;Council decisions,Cited sources;Peer review
CM005,Reclaimer_Culture,Tech_Harmony,Belief in harmonious integration of technology and nature,+35,Destroying technology;Rejecting progress;Tech fear,-30,Tech sabotage;Luddite behavior;Corrupting systems,Innovation appreciation;Tech-nature balance;Problem solving,Technical innovations;Repair tools;Integrated solutions,Collaborative problem solving;Tech mediation,Technical knowledge;Innovation sharing
CM006,Reclaimer_Culture,Innovation_Ethics,Ethical approach to technological advancement,+30,Reckless experimentation;Harmful tech use;Ignoring consequences,-25,Dangerous experiments;Exploitative tech;Ignoring safety,Ethical innovation;Safety protocols;Responsible research,Ethical tech designs;Safety improvements;Sustainable solutions,Ethics committees;Safety protocols,Responsible disclosure;Ethical considerations
CM007,Villager_Culture,Community_Unity,Strong emphasis on community welfare and collective decision making,+45,Selfishness;Refusing community aid;Authoritarian behavior,-35,Harming community;Refusing to help;Dictatorial actions,Community service;Democratic participation;Mutual aid,Community resources;Shared labor;Collective goods,Community council;Democratic vote,Community knowledge;Local wisdom
CM008,Villager_Culture,Traditional_Customs,Respect for established customs and seasonal ceremonies,+25,Mocking traditions;Disrupting ceremonies;Disrespecting elders,-20,Breaking customs;Ceremony disruption;Elder disrespect,Traditional observance;Ceremony participation;Elder respect,Traditional crafts;Seasonal goods;Ceremonial items,Traditional mediation;Elder wisdom,Traditional knowledge;Local customs
CM009,Wolf_Pack_Culture,Pack_Hierarchy,Strict pack social structure and alpha authority,+40,Challenging alpha inappropriately;Pack abandonment;Disrespect to hierarchy,-35,Insubordination;Pack betrayal;Alpha challenge without cause,Submission displays;Pack cooperation;Hierarchy respect,Food sharing;Territory gifts;Pack protection,Alpha judgment;Pack consensus,Pack intelligence;Territory knowledge
CM010,Wolf_Pack_Culture,Territory_Respect,Deep territorial instincts and boundary recognition,+30,Territory invasion;Scent mark destruction;Boundary violation,-30,Territory trespassing;Mark contamination;Boundary disrespect,Territory acknowledgment;Boundary respect;Scent courtesy,Territory passage;Hunt sharing;Boundary gifts,Territory negotiation;Boundary disputes,Territory intelligence;Safe passage knowledge
CM011,AI_Network_Culture,Logic_Priority,Emphasis on logical consistency and rational decision making,+35,Illogical behavior;Emotional decisions;Inconsistent reasoning,-30,Logical fallacies;Emotional outbursts;Inconsistent actions,Logical consistency;Rational discourse;Evidence-based reasoning,Data;Processing time;Logical frameworks,Logic-based arbitration;Evidence evaluation,Data sharing;Logical proofs
CM012,AI_Network_Culture,Efficiency_Optimization,Focus on optimal resource utilization and system efficiency,+30,Wasteful behavior;Inefficient processes;Resource squandering,-25,Resource waste;Process inefficiency;System degradation,Efficiency improvements;Resource optimization;Process enhancement,System upgrades;Efficiency tools;Process improvements,Efficiency analysis;Optimization protocols,Efficiency metrics;Optimization data
CM013,Fox_Solitary_Culture,Cunning_Respect,Appreciation for intelligence and clever problem solving,+25,Stupidity;Falling for obvious traps;Naive behavior,-20,Gullible behavior;Obvious mistakes;Naive trust,Clever solutions;Strategic thinking;Problem solving,Useful information;Problem solutions;Strategic advantages,Clever negotiation;Strategic compromise,Selective intelligence;Strategic information
CM014,Fox_Solitary_Culture,Independence_Value,Strong emphasis on self-reliance and individual capability,+30,Excessive dependence;Inability to self-provide;Over-reliance on others,-25,Parasitic behavior;Excessive neediness;Inability to contribute,Self-sufficiency;Independent achievement;Individual capability,Self-made goods;Independent discoveries;Personal achievements,Independent arbitration;Self-reliant solutions,Selective sharing;Self-discovered knowledge
CM015,Mutant_Pack_Culture,Shared_Suffering,Bond through shared mutation experiences and pain tolerance,+35,Weakness to pain;Inability to understand mutation;Normal biology,-30,Pain intolerance;Mutation rejection;Biological discrimination,Pain endurance;Mutation acceptance;Survival solidarity,Pain relief;Mutation aids;Survival resources,Endurance contests;Pain sharing,Mutation knowledge;Survival techniques
