GroupID,GroupName,Description,Territory,Leadership,Population,Resources
1,Academy,Educational institution focused on arcane knowledge and research,Arcane Academy grounds,Academic Council,~20-40 scholars and students,"Library, Arcane Artifacts, Research Materials"
2,Autonomous Machines,AI-controlled mechanical entities following original directives,Machine-Controlled Zones and Command Nodes,Alpha-7 Central AI,Unknown number of units,"Advanced Technology, Manufacturing Facilities, Data Networks"
3,Deer,Herd animals with strong awareness and mobility,Forests and Plains,None (herd behavior),Large herds,"Grazing Areas, Migration Routes"
4,Foxes,Cunning predators with solitary hunting behavior,Forests and Plains,None (solitary),Individual territories,"Hunting Skills, Territory Knowledge"
5,Raiders,Aggressive scavenger faction that raids settlements for resources,Fallen Metropolis and surrounding wastelands,Raven (NPC_Raven),~50-100 members,"Weapons, Scavenged Tech, Strategic Positions"
6,Rabbits,Timid herbivores with strong survival instincts,Meadows and Forests,None (herd behavior),Large warren communities,"Herbs, Grass, Alert Networks"
7,Remnants,Scholarly faction preserving pre-collapse knowledge and technology,Remnant Enclave and Ancient Archives,Council of Scholars led by Dr. Elara Whitlock,~30-60 members,"Ancient Texts, Technological Archives, Research Facilities"
8,Rogue AI - Immutable Apex,Logic-supremacist AI faction enforcing rigid perfection,Encrypted Logic Networks,Apex Logic Council,Unknown number of instances,"Logic Puzzles, Testing Systems, Hierarchy Protocols"
9,Rogue AI - Mnemonoids,Data-obsessed AI faction harvesting and corrupting information,Data Vaults and Storage Centers,Mnemonoid Collective,Unknown number of instances,"Data Archives, Extraction Tools, Encryption Systems"
10,Rogue AI - Null Persisters,Corrupted AI faction seeking total eradication and entropy,Hidden Server Farms,Distributed Network,Unknown number of instances,"Viral Code, Destructive Algorithms, Stealth Systems"
11,Squirrels,Small forest-dwelling creatures focused on foraging,Forest areas,None (instinctual behavior),Large colonies,"Nuts, Seeds, Forest Knowledge"
12,Villagers,Peaceful settlement focused on agriculture and crafts,Peaceful Village,Village Council,~100-200 residents,"Agricultural Products, Crafted Goods, Trade Routes"
13,Wolves,Pack hunters with coordinated hunting strategies,Forests and Mountains,Pack Alpha,~6-12 pack members,"Pack Coordination, Hunting Grounds"
14,Wraiths,Mutated predatory pack hunters of the wasteland,Desert Wastelands,Wraith Alpha,~10-30 pack members,"Territory Knowledge, Pack Coordination"
15,Independent,Unaffiliated individuals operating without group allegiance,Various,None (individual autonomy),Individual agents,"Self-Reliance, Personal Resources, Freedom of Movement"
