ZoneID,ZoneName,StreamingRadius,UnloadRadius,Priority,bStreamWeatherData,bStreamInventoryData,bStreamQuestData,bStreamNPCData,MaxMemoryBudget,ZoneCenterX,ZoneCenterY,ZoneCenterZ,ZoneExtentX,ZoneExtentY,ZoneExtentZ,StreamingLevels
1001,"Village Center",3000,4500,1.0,1,1,1,1,800,"1000,2000,100","2000,2000,200","VillageCenter_Geometry;VillageCenter_Props"
1002,"Ancient Ruins",2500,3750,0.8,1,1,1,1,600,"3000,4000,150","1500,1500,300","AncientRuins_Geometry;AncientRuins_Dungeon"
1003,"Bandit Outpost",2000,3000,0.7,1,0,1,1,400,"5000,1000,80","1000,800,150","BanditOutpost_Geometry"
1004,"Lumber Mill Area",3500,5250,0.9,1,1,0,1,500,"6000,3000,90","2500,2000,100","LumberMill_Geometry;LumberMill_Forest"
1005,"Mining District",2800,4200,0.8,1,1,1,1,700,"7000,2000,50","2000,1500,200","MiningDistrict_Geometry;MiningDistrict_Underground"
1006,"Fishing Village",2200,3300,0.6,1,1,1,1,350,"8000,5000,0","1200,1000,50","FishingVillage_Geometry;FishingVillage_Docks"
1007,"Deep Dungeon",1500,2250,0.5,0,1,1,1,900,"9000,1000,0","800,600,500","DeepDungeon_Level1;DeepDungeon_Level2;DeepDungeon_Level3"
1008,"Wilderness Plains",4000,6000,0.4,1,0,0,1,300,"4000,6000,80","3000,4000,100","WildernessPlains_Geometry"
1009,"Mountain Pass",2600,3900,0.7,1,1,1,1,450,"2000,8000,500","1500,1000,800","MountainPass_Geometry;MountainPass_Caves"
1010,"Coastal Cliffs",3200,4800,0.6,1,1,0,1,400,"10000,6000,200","2000,1500,600","CoastalCliffs_Geometry;CoastalCliffs_Lighthouse"
1011,"Mystic Grove",1800,2700,0.8,1,1,1,1,550,"1500,7000,120","1000,1200,300","MysticGrove_Geometry;MysticGrove_MagicCircle"
1012,"Trade Route Hub",3800,5700,1.0,1,1,1,1,650,"5500,4500,100","2500,2500,150","TradeRouteHub_Geometry;TradeRouteHub_Warehouses"
1013,"Abandoned Settlement",2000,3000,0.3,1,0,0,0,200,"3500,500,90","1200,1000,100","AbandonedSettlement_Geometry"
1014,"Swampland",2400,3600,0.5,1,1,0,1,350,"6500,7000,60","2000,2500,80","Swampland_Geometry;Swampland_Murk"
1015,"Desert Oasis",2800,4200,0.6,1,1,1,1,400,"12000,2000,80","1500,1200,100","DesertOasis_Geometry;DesertOasis_Temple"
