TalentID,TalentName,Domain,CoreDefinition,Brings,Needs,PotentialBlindSpot
T001,Achiever,Executing,"Works hard with great stamina; satisfaction in being busy and productive","Intensity and stamina of effort","Freedom to work at own pace","Workaholism; burnout; takes on too much"
T002,Arranger,Executing,"Organizes with flexibility; determines how pieces/resources arrange for maximum productivity","Organizational skill; flexible configuration","Dynamic, multi-variable environment","Control freak; tendency to meddle/micro-manage"
T003,Belief,Executing,"Unchanging core values; defined life purpose emerges from values","Clear sense of purpose, values, ethics","Work aligned with values","Stubbornness; inflexibility; seen as preachy"
T004,Consistency,Executing,"Keenly aware of need to treat people same; craves stable routines and clear rules","Fair processes; equity; stable routines","Clear rules and procedures; stable environment","Inflexibility; bureaucracy; one-size-fits-all thinking"
T005,Deliberative,Executing,"Serious care in making decisions; anticipates obstacles","'Brakes' system; vigilant risk-assessment","Time to think; information; risk to assess","Analysis paralysis; risk-averse; always says 'no'"
T006,Discipline,Executing,"Enjoys routine and structure; world described by order created","Precision; order; structure; timelines","Environment needing structure; clear timelines","Extreme inflexibility; freaks out when plan changes"
T007,Focus,Executing,"Takes direction, follows through, makes corrections to stay on track; prioritizes then acts","Clarity through concentration and direction","Goal to establish priorities","Tunnel vision; ignores better paths; rude to distractions"
T008,Responsibility,Executing,"Psychological ownership of commitments; committed to honesty and loyalty","Dependability and loyalty","Freedom to take ownership","Inability to say 'no'; takes on too much ownership"
T009,Restorative,Executing,"Adept at dealing with problems; figures out what's wrong and resolves it","Courage and creativity for problematic situations","Problems that must be solved","Sees problems everywhere; may create problems to solve"
T010,Analytical,Strategic Thinking,"Searches for reasons and causes; thinks about all factors affecting a situation","Objective, dispassionate, data-driven analysis","Data; time to think; logical frameworks","Analysis paralysis; perceived as cold/critical"
T011,Context,Strategic Thinking,"Enjoys thinking about past; understands present by researching history","Perspective; valuable historical lessons","Access to history/data; time to research","Stuck in past; resistant to non-precedent ideas"
T012,Futuristic,Strategic Thinking,"Inspired by future and what could be; energizes others with visions","Compelling future vision; hope; long-range thinking","Time to dream; audience to inspire","Head in clouds; not grounded in reality; impractical"
T013,Ideation,Strategic Thinking,"Fascinated by ideas; finds connections between disparate phenomena","Constant flow of new, creative ideas","Freedom to brainstorm; new problems","All ideas, no action; not grounded in reality"
T014,Input,Strategic Thinking,"Needs to collect and archive; accumulates information, ideas, artifacts","'Database' of information; resourceful collector","Freedom to archive; place to store finds","Digital hoarding; collects but doesn't use"
T015,Intellection,Strategic Thinking,"Intellectual activity; introspective; appreciates intellectual discussions","Deep thinking; rigorous mental activity","Time for reflection and meditation","Ivory tower; stuck in thought; perceived as aloof"
T016,Learner,Strategic Thinking,"Great desire to learn and continuously improve; excited by learning process","Learning perspective; excitement for process","Exposure to new information and experiences","Professional student; learns but never does/masters"
T017,Strategic,Strategic Thinking,"Creates alternative ways to proceed; quickly spots patterns and issues","Creative anticipation, imagination, persistence","Freedom to make midcourse corrections","Always changing plan; seen as flaky; abandons good plans"
T018,Activator,Influencing,"Makes things happen by turning thoughts into action; wants to do now rather than talk","Catalytic sense of urgency","Less discussion, more action","Impatience; acts without thinking; starts but doesn't finish"
T019,Command,Influencing,"Has presence; takes control and makes decisions","Decisiveness; clarity; emotional control","Freedom to take charge; confrontation","Bossy; domineering; 'my way or the highway'"
T020,Communication,Influencing,"Easy to put thoughts into words; good conversationalist and presenter","Ability to articulate and present vividly","Stage/audience; ideas to express","Talks too much; dominates conversations; poor listener"
T021,Competition,Influencing,"Measures progress against others' performance; strives to win first place","Drive to be the best; high motivation","Clear scoreboard; peers to compete against","Win at all costs; sore loser; undermines teammates"
T022,Maximizer,Influencing,"Focuses on strengths to stimulate excellence; transforms strong into superb","Focus on excellence; 'good to great'","Freedom to focus on strengths; quality work","Elitist; perfectionist; ignores problems; overly critical"
T023,Self-Assurance,Influencing,"Confident in ability to take risks and manage own life; inner compass","Inner compass; deep confidence; 'guts'","Freedom to act independently; runway to act","Arrogance; can't be told anything; resistant to feedback"
T024,Significance,Influencing,"Wants to make big impact; independent; prioritizes by influence","Desire for impact; 'big-stage' presence","Audience; recognition; big stage","Ego-driven; needs center of attention; diva"
T025,Woo,Influencing,"Loves meeting new people and winning them over; satisfaction from breaking ice","Social energy; breaks ice; builds networks","High-variety social environment","Seen as fake/shallow; struggles with deep relationships"
T026,Adaptability,Relationship Building,"Prefers to go with flow; 'now' person who takes things as they come","Flexibility; calmness during chaos; present focus","Flexible, dynamic, non-structured environment","Seen as rudderless/directionless; fails to plan"
T027,Connectedness,Relationship Building,"Faith in links among all things; few coincidences; every event has meaning","Sense of perspective; 'big picture' thinking","Time for reflection; mission-driven environment","Seen as flaky/New Age; can be fatalistic"
T028,Developer,Relationship Building,"Recognizes and cultivates potential in others; derives satisfaction from progress","Patience; desire to see others grow; good mentor","People to mentor; evidence of progress","Too soft; invests in low potential; avoids tough feedback"
T029,Empathy,Relationship Building,"Senses others' feelings by imagining self in their situations","Emotional intelligence; 'reading the room'","Freedom to express emotions (laugh, cry, vent)","Emotional sponge; seen as too soft/a-logical"
T030,Harmony,Relationship Building,"Looks for consensus; doesn't enjoy conflict; seeks agreement areas","Conflict reduction; consensus-building","Calm, non-confrontational environment","Conflict avoidance; sacrifices right for peaceful"
T031,Includer,Relationship Building,"Accepts others; aware of those left out; makes effort to include","Welcoming presence; expands circle","Environment to widen circle","Can't say no; includes poor fits; avoids focus groups"
T032,Individualization,Relationship Building,"Intrigued by unique qualities of each person; figures out how different people work together","'Casting director'; customized approach","Individual expectations fit to person","Can't see forest for trees; resists group rules"
T033,Positivity,Relationship Building,"Contagious enthusiasm; upbeat; gets others excited","Contagious energy and enthusiasm","Freedom to experience joy and drama of life","Seen as fake/Pollyanna; avoids negative feedback; not serious"
T034,Relator,Relationship Building,"Enjoys close relationships; deep satisfaction in working hard with friends","Social depth and transparency; trusted inner circle","Time for one-on-one interactions","Cliques; cronyism; slow to trust outsiders"
