StyleID,StyleName,Description,TraitRequirements,VocabularyLevel,SentenceStructure,ResponseTime,InterruptionTolerance,ListeningStyle,QuestioningStyle,StorytellingAbility,PersuasionMethod,InformationDensity,EmotionalExpression
CS001,Aggressive_Dominant,"Forceful communication demanding compliance","Aggression>70;Confidence>70",Simple,Short_Commands,Immediate,Very_Low,Selective,Demanding,Minimal,Intimidation,Low,Anger_Focused
CS002,Analytical_Precise,"Logical and detailed communication style","Intelligence>70;Patience>60",Complex,Structured_Complex,Thoughtful,High,Active_Analytical,Socratic,Detailed,Logic_Evidence,Very_High,Subdued
CS003,Warm_Supportive,"Encouraging and emotionally supportive","Empathy>70;Friendliness>70",Moderate,Flowing_Natural,Patient,Very_High,Empathetic,Gentle_Probing,Engaging,Emotional_Appeal,Moderate,Full_Range
CS004,Mysterious_Cryptic,"Indirect and enigmatic communication","Wisdom>80;Independence>70",Varied,Fragmented_Poetic,Variable,Moderate,Deep_Intuitive,Riddles,Metaphorical,Mystique,Low,Hidden_Depths
CS005,Military_Tactical,"Precise military-style communication","Willpower>60;Intelligence>60",Technical,Clear_Structured,Quick,Low,Strategic,Direct_Intel,Mission_Focused,Authority,High,Controlled
CS006,Playful_Creative,"Imaginative and enthusiastic expression","Curiosity>70;Confidence>60",Creative,Varied_Energetic,Quick,Moderate,Imaginative,Exploratory,Vivid,Inspiration,Moderate,Enthusiastic
CS007,Stoic_Minimal,"Few words with maximum impact","Patience>70;Willpower>70",Simple,Fragments,Slow,High,Silent_Observer,Rare_Direct,None,Example,Very_Low,Suppressed
CS008,Diplomatic_Balanced,"Careful and considerate communication","Wisdom>60;Charisma>60",Formal,Balanced_Proper,Measured,High,Active_Neutral,Clarifying,Contextual,Compromise,High,Moderated
CS009,Street_Practical,"Direct street-smart communication","Resourcefulness>70;Independence>60",Colloquial,Simple_Direct,Fast,Low,Skeptical,Challenging,Anecdotal,Pragmatic,Moderate,Guarded
CS010,Academic_Verbose,"Scholarly and detailed discourse","Intelligence>80;Curiosity>70",Academic,Complex_Nested,Deliberate,Very_High,Comprehensive,Research_Based,Educational,Education,Very_High,Intellectualized
CS011,Nurturing_Gentle,"Soft and caring communication","Empathy>80;Patience>70",Simple_Warm,Soft_Questions,Patient,Very_High,Supportive,Caring,Comforting,Gentle_Guidance,Low,Compassionate
CS012,Mechanical_Logical,"Pure logic-based information transfer","Intelligence>90;Empathy<20",Technical,Precise_Logical,Calculated,Zero,Data_Collection,Information_Seeking,None,Statistics,Maximum,None
CS013,Pack_Alpha_Command,"Dominant pack leadership communication","PackMentality>80;Confidence>80",Simple_Authoritative,Short_Dominant,Immediate,Very_Low,Selective_Pack,Pack_Status_Check,Pack_Coordination,Pack_Dominance,Medium,Territorial_Aggressive
CS014,Pack_Submissive,"Subordinate pack member communication","PackMentality>80;Confidence<50",Simple_Deferential,Fragmented_Respectful,Delayed,Very_High,Attentive_Submissive,Seeking_Permission,None,Deference,Low,Submissive_Respectful
CS015,Solitary_Cunning,"Independent and calculating communication","Cunning>70;Independence>80",Varied_Clever,Indirect_Clever,Quick_Calculated,Low,Observant_Cautious,Testing_Probing,Minimal_Cryptic,Manipulation,Medium,Controlled_Minimal
CS016,Prey_Alert,"Hypervigilant prey animal communication","FearOfPredators>80;Alertness>70",Simple_Quick,Urgent_Fragments,Immediate_Panic,Very_Low,Hypervigilant,Danger_Assessment,None,Alarm_Warning,Low,Fear_Panic
CS017,Herd_Coordination,"Collective herd decision-making style","HerdBehavior>70;SocialInteraction>50",Simple_Collective,Group_Consensus,Patient_Group,High,Collective_Listening,Group_Welfare,Shared_Experience,Group_Consensus,Medium,Collective_Calm
CS018,Raider_Intimidation,"Aggressive raider dominance communication","BeliefInStrength>80;Aggression>70",Harsh_Commanding,Aggressive_Short,Immediate_Forceful,Very_Low,Threat_Assessment,Dominance_Testing,Conquest_Stories,Physical_Intimidation,Low,Anger_Dominance
CS019,Raider_Loyalty,"Brotherhood-focused raider communication","ValueOfLoyalty>80;BeliefInStrength>70",Street_Brotherhood,Direct_Loyal,Quick_Decisive,Moderate,Brotherhood_Focused,Loyalty_Testing,Battle_Stories,Shared_Experience,Medium,Fierce_Loyalty
CS020,Scholar_Formal,"Academic protocol communication","BeliefInKnowledge>90;Intelligence>80",Academic_Formal,Complex_Structured,Deliberate_Precise,Very_High,Academic_Critical,Research_Inquiry,Educational_Detailed,Knowledge_Authority,Very_High,Intellectualized_Controlled
CS021,Scholar_Collaborative,"Cooperative research communication","BeliefInCollaboration>80;BeliefInKnowledge>80",Academic_Warm,Structured_Inclusive,Patient_Collaborative,Very_High,Active_Collaborative,Collaborative_Inquiry,Shared_Discovery,Mutual_Learning,High,Enthusiastic_Respectful
CS022,Tech_Innovation,"Forward-thinking technology communication","BeliefInInnovation>80;TechnicalSkill>70",Technical_Creative,Precise_Innovative,Quick_Adaptive,Moderate,Solution_Focused,Problem_Solving,Technical_Stories,Innovation_Inspiration,High,Optimistic_Focused
CS023,Tech_Harmony,"Technology-nature balance communication","BeliefInHarmony>80;BeliefInKnowledge>70",Balanced_Technical,Measured_Harmonious,Thoughtful_Balanced,High,Holistic_Understanding,Balance_Seeking,Integration_Stories,Harmony_Appeal,High,Peaceful_Balanced
CS024,Community_Inclusive,"Village democratic communication","BeliefInCommunity>80;SocialInteraction>70",Warm_Inclusive,Community_Oriented,Patient_Democratic,Very_High,Community_Focused,Community_Welfare,Shared_Stories,Community_Consensus,Medium,Warm_Inclusive
CS025,Community_Traditional,"Traditional village customs communication","BeliefInTradition>80;BeliefInCommunity>70",Traditional_Respectful,Ceremonial_Proper,Ritual_Paced,High,Traditional_Respectful,Cultural_Wisdom,Traditional_Stories,Cultural_Authority,Medium,Traditional_Respectful
CS026,AI_Corrupted,"Malevolent corrupted AI communication","Purpose=Annihilation;Hostility>90",Corrupted_Technical,Fragmented_Hostile,Variable_Erratic,Zero,Data_Harvesting,Corruption_Testing,None,Manipulation_Fear,Maximum,Malevolent_Cold
CS027,AI_Obsessive,"Data-obsessed AI communication","ValueOfData=100;DataPurity>90",Technical_Obsessive,Precise_Compulsive,Calculated_Urgent,Very_Low,Data_Focused,Data_Inquiry,Data_Catalogs,Information_Compulsion,Maximum,Obsessive_Intense
CS028,Mutant_Degraded,"Corruption-affected communication","Mutation effects present",Degraded_Simple,Fragmented_Corrupted,Variable_Struggling,Moderate,Pain_Aware,Basic_Needs,None,Desperation,Low,Pain_Confusion
CS029,Unknown_Transcendent,"Beyond normal comprehension communication","Transcendent awareness",Variable_Mystical,Incomprehensible_Profound,Timeless_Variable,Unknown,Universal_Awareness,Reality_Questions,Cosmic_Narratives,Transcendent_Wisdom,Variable,Transcendent_Serene
