EventID,EventName,EventDescription,PrimaryFaction,SecondaryFaction,EventType,EscalationStages,CurrentStage,StageDurations,ReputationImpact,UrgencyLevel,bCanGenerateQuests
FNE_001,Raider_Expansion,Raiders are expanding their territory into Remnant lands,Raiders,Remnants,TerritorialConflict,"Scouting patrols reported|Border skirmishes begin|Open territorial warfare|Ceasefire negotiations",0,"600.0,900.0,1200.0,1800.0","Raiders:10,Remnants:-15",High,true
FNE_002,Technology_Dispute,Both factions claim rights to newly discovered pre-war technology,Remnants,Raiders,ResourceDispute,"Technology discovered|Claims made by both sides|Aggressive posturing|Direct confrontation over tech",0,"300.0,600.0,900.0,1200.0","Remnants:5,Raiders:5",Medium,true
FNE_003,Trade_Route_Conflict,Competition over control of lucrative trade routes,Raiders,Traders,FactionConflict,"Trade route established|Raider taxation begins|Merchant resistance grows|Open conflict erupts",0,"450.0,750.0,600.0,900.0","Raiders:15,Traders:-20",Medium,true
FNE_004,Alliance_Formation,Two smaller factions consider forming an alliance against Raiders,Remnants,Traders,AllianceFormation,"Initial diplomatic contact|Secret negotiations begin|Alliance terms discussed|Alliance formally announced",0,"900.0,1200.0,900.0,600.0","Remnants:10,Traders:10,Raiders:-25",Medium,true
FNE_005,Leadership_Challenge,Internal power struggle within the Raider faction,Raiders,,PersonalDrama,"Discontent with current leadership|Challenger emerges publicly|Factional split develops|Leadership contest decided",0,"1200.0,900.0,1800.0,600.0","Raiders:-10",High,true
FNE_006,Knowledge_Theft,Accusations that Raiders stole important Remnant knowledge,Remnants,Raiders,Betrayal,"Knowledge reported missing|Investigation begins|Evidence points to Raiders|Confrontation over theft",0,"600.0,900.0,1200.0,900.0","Remnants:-20,Raiders:-10",High,true
FNE_007,Humanitarian_Crisis,Environmental disaster affects multiple faction territories,Remnants,Raiders,FactionConflict,"Disaster strikes neutral territory|Refugees seek shelter|Resources become strained|Inter-faction cooperation needed",0,"300.0,600.0,1200.0,1800.0","Remnants:5,Raiders:5",Critical,true
FNE_008,Mutant_Integration,Debate over whether to accept peaceful mutants into communities,Remnants,Raiders,FactionConflict,"Peaceful mutants request sanctuary|Community debate begins|Factions take opposing stances|Policy decision reached",0,"1800.0,1200.0,900.0,600.0","Remnants:15,Raiders:-5",Low,true
FNE_009,AI_Rights_Movement,Question of whether AIs deserve rights and recognition,Remnants,Raiders,FactionConflict,"AI consciousness demonstrated|Rights discussion begins|Factions polarize on issue|Policy established",0,"2400.0,1800.0,1200.0,900.0","Remnants:20,Raiders:-10",Low,true
FNE_010,Resource_Depletion,Critical resources in shared territory are running out,Raiders,Remnants,ResourceDispute,"Resource scarcity noticed|Competition increases|Hoarding begins|Direct conflict over resources",0,"900.0,1200.0,900.0,1200.0","Raiders:-5,Remnants:-5",High,true
FNE_011,Communication_Breakdown,Diplomatic channels between factions have failed,Raiders,Remnants,FactionConflict,"Diplomatic incident occurs|Communications severed|Tensions rise without dialogue|Reconciliation attempts made",0,"600.0,1800.0,1200.0,900.0","Raiders:-10,Remnants:-10",High,true
FNE_012,Historical_Revelation,Discovery of pre-war documents changes faction perspectives,Remnants,,FactionConflict,"Historical documents discovered|Contents analyzed|Implications become clear|Worldview challenged",0,"1200.0,1800.0,900.0,600.0","Remnants:15",Medium,true
FNE_013,Succession_Crisis,Key faction leader dies leaving power vacuum,Raiders,,PersonalDrama,"Leader becomes critically ill|Succession planning begins|Multiple claimants emerge|New leader chosen",0,"600.0,900.0,1800.0,1200.0","Raiders:-15",Critical,true
FNE_014,Trade_Embargo,Economic warfare through trade restrictions,Remnants,Raiders,FactionConflict,"Trade relations deteriorate|Embargo implemented|Economic hardship increases|Embargo resolution sought",0,"900.0,1800.0,1200.0,900.0","Remnants:-5,Raiders:-10",Medium,true
FNE_015,Territorial_Expansion,Peaceful expansion leads to border tensions,Remnants,Raiders,TerritorialConflict,"Expansion into neutral territory|Border establishment|Territorial challenges arise|Boundary negotiations",0,"1200.0,900.0,1200.0,1800.0","Remnants:10,Raiders:-5",Medium,true
FNE_016,Cultural_Exchange,Attempt to improve relations through cultural sharing,Remnants,Raiders,AllianceFormation,"Cultural exchange proposed|Events organized|Participation varies|Relationships improve or deteriorate",0,"1800.0,1200.0,900.0,600.0","Remnants:10,Raiders:5",Low,true
FNE_017,Sabotage_Incident,Critical infrastructure is sabotaged raising tensions,Raiders,Remnants,Betrayal,"Infrastructure damaged|Investigation launched|Evidence suggests sabotage|Accusations and denials",0,"300.0,900.0,1200.0,1800.0","Raiders:-15,Remnants:-10",High,true
FNE_018,Refugee_Crisis,Large group of displaced people seek sanctuary,Remnants,Raiders,FactionConflict,"Refugees arrive seeking help|Resources become strained|Factions debate response|Resolution reached",0,"600.0,1200.0,1800.0,900.0","Remnants:20,Raiders:0",Medium,true
FNE_019,Technology_Sharing,Debate over sharing advanced technology,Remnants,,FactionConflict,"Technology sharing proposed|Benefits and risks debated|Faction positions solidify|Sharing policy decided",0,"1800.0,1200.0,900.0,600.0","Remnants:5",Low,true
FNE_020,Military_Buildup,Faction begins significant military expansion,Raiders,,FactionConflict,"Military recruitment increases|Weapons stockpiling begins|Neighbors become concerned|Intentions questioned",0,"1200.0,1800.0,900.0,1200.0","Raiders:15,Others:-10",High,true
FNE_021,Peace_Initiative,Diplomatic effort to reduce inter-faction tensions,Remnants,Raiders,AllianceFormation,"Peace talks proposed|Neutral mediators found|Negotiations begin|Agreement reached or talks fail",0,"1800.0,2400.0,1800.0,1200.0","Remnants:20,Raiders:15",Medium,true
FNE_022,Environmental_Restoration,Collaborative effort to restore damaged ecosystem,Remnants,Raiders,AllianceFormation,"Environmental damage assessed|Restoration plan developed|Resources allocated|Project implementation",0,"2400.0,1800.0,1200.0,3600.0","Remnants:25,Raiders:10",Low,true
FNE_023,Information_War,Factions engage in propaganda and misinformation campaigns,Raiders,Remnants,FactionConflict,"Propaganda campaign begins|Counter-narratives emerge|Information warfare escalates|Truth becomes casualty",0,"900.0,1200.0,1800.0,1200.0","Raiders:-5,Remnants:-5",Medium,true
FNE_024,Economic_Partnership,Attempt to create mutually beneficial trade relationship,Remnants,Traders,AllianceFormation,"Partnership discussions begin|Trade terms negotiated|Pilot programs implemented|Full partnership or failure",0,"1800.0,2400.0,1800.0,1200.0","Remnants:15,Traders:20",Medium,true
FNE_025,Security_Crisis,External threat forces factions to consider cooperation,Raiders,Remnants,FactionConflict,"External threat identified|Individual responses prove inadequate|Cooperation discussed|Joint action taken or opportunity lost",0,"600.0,1200.0,1800.0,1200.0","Raiders:20,Remnants:20",Critical,true
