RiskID,RiskName,Description,AssociatedLocations,AssociatedNPCs
Risk_MachinePatrols,Machine Patrols,"Autonomous machines patrolling areas, posing threats.","Fallen Metropolis;Machine-Controlled Zones","NPC_Alpha7"
Risk_RivalFactions,Rival Factions,"Other hostile groups competing for resources.","Various Outskirts","None"
Risk_RemnantPatrols,Remnant Patrols,"Patrols from the Remnant faction.","Remnant Enclave Borders","NPC_Elara;NPC_Marcus"
Risk_MachineZones,Machine Zones,"Areas heavily controlled by machines.","Machine-Controlled Zones","NPC_Alpha7"
Risk_MachineInfiltration,Machine Infiltration,"Machines attempting to infiltrate human settlements.","Remnant Enclave","NPC_Alpha7"
Risk_RaiderAttacks,Raider Attacks,"Attacks from Raider factions.","Various Settlements","NPC_Raven;NPC_Grim"
Risk_MachineSabotage,Machine Sabotage,"Machines sabotaging human technology.","Defensive Outposts","NPC_Alpha7"
Risk_RaiderIncursions,Raider Incursions,"Incursions by Raiders into Remnant territories.","Remnant Enclave Borders","NPC_Raven"
Risk_HumanInterference,Human Interference,"Humans attempting to disrupt machine operations.","Machine-Controlled Zones","NPC_Aaron;NPC_Sophia"
Risk_DataCorruption,Data Corruption,"Risk of corrupted data affecting AI systems.","AI Command Nodes","NPC_Alpha7"
Risk_MachineHacking,Machine Hacking,"Attempts to hack into machine systems.","Tech Labs","NPC_Sophia"
Risk_Technophobia,Technophobia,"Fear or distrust of technology among humans.","Various Settlements","None"
Risk_RaiderTerritories,Raider Territories,"Areas controlled by Raiders.","Wasteland;Raider Encampment","NPC_Raven;NPC_Grim"
Risk_MachineAwareness,Machine Awareness,"Machines becoming aware of certain individuals.","Various","NPC_Wanderer"
Risk_UnseenForces,Unseen Forces,"Mysterious risks not fully understood.","Unknown","NPC_Wanderer"
