FactionName,PreferredItems,DislikedItems,ForbiddenItems,PreferredPriceModifier,DislikedPriceModifier
MerchantGuild,"1001,1002,1003,1018,1019,4001","2001,2002,2003",,1.3,0.7
WarriorClan,"2001,2002,2003,3001,3002,1005","1014,1016",1007,1.4,0.6
FarmerCommunity,"1001,1002,1003,1014,1015","2001,2002,2003",,1.2,0.8
NomadicTribe,"1009,1006,2002,3002,1019","3001,4001",,1.25,0.75
ReligiousOrder,"1005,1008,1014,1001","2001,2002,2003,1007","1007,1012",1.15,0.85
ScholarsConsortium,"1011,1016,4001,1008","2001,2002,2003",,1.35,0.7
Bandits,"2001,2002,3001,1007","1005,1014,1008",,1.5,0.6
Guards,"2001,2002,3001,3002,1005","1007,1012",,1.2,0.8
VillageA,"1001,1002,1003,1015","2001,2002",,1.1,0.9
VillageB,"1001,1002,1004,1018","2003,3001",,1.1,0.9
FishermanGuild,"1003,1002,1019","2001,3001",,1.25,0.8
ScientistFaction,"1011,1016,1017,4001","1001,1014",,1.4,0.7
Healers,"1005,1008,1010,1014","2001,2002,2003,1007",1007,1.3,0.6
Craftsmen,"1015,1016,1017,1018,1019,4001","1007",,1.2,0.85
Miners,"1015,1016,1017,4002","1001,1014",,1.3,0.8
